MonthlyMinutes,TotalRecurringCharge,PercChangeMinutes,UniqueSubs,Handsets,CurrentEquipmentDays,HandsetRefurbished,HandsetWebCapable,RetentionCalls,RetentionOffersAccepted,CreditRating
219.0,22.0,-157.0,2,2.0,361.0,0,1,1,0,0
10.0,17.0,-4.0,1,2.0,1504.0,0,0,0,0,3
8.0,38.0,-2.0,1,1.0,1812.0,0,0,0,0,2
1312.0,75.0,157.0,2,9.0,458.0,0,1,0,0,3
0.0,17.0,0.0,2,4.0,852.0,0,0,0,0,0
682.0,52.0,148.0,1,3.0,231.0,0,1,0,0,2
26.0,30.0,60.0,2,2.0,601.0,0,1,0,0,0
98.0,66.0,24.0,2,3.0,464.0,0,1,0,0,0
24.0,35.0,20.0,3,4.0,544.0,0,1,0,0,0
1056.0,75.0,43.0,1,9.0,388.0,0,1,0,0,2
2.0,25.0,-2.0,2,2.0,354.0,0,1,0,0,0
1972.0,85.0,-200.0,5,10.0,199.0,0,1,0,0,3
270.0,37.0,202.0,2,5.0,697.0,0,1,0,0,2
440.0,60.0,-16.0,1,3.0,530.0,0,1,0,0,2
162.0,70.0,-58.0,1,4.0,253.0,0,1,0,0,2
1978.0,100.0,-1007.0,2,4.0,143.0,0,1,1,0,0
47.0,30.0,14.0,3,3.0,573.0,0,1,0,0,0
34.0,30.0,32.0,1,2.0,319.0,0,1,0,0,2
42.0,17.0,81.0,2,3.0,776.0,0,1,0,0,0
94.0,30.0,-54.0,1,2.0,1395.0,1,0,0,0,3
139.0,35.0,-11.0,1,4.0,628.0,0,1,0,0,0
46.0,17.0,-16.0,1,2.0,138.0,0,1,0,0,0
66.0,30.0,41.0,2,2.0,917.0,0,1,0,0,0
1194.0,75.0,-14.0,1,4.0,258.0,0,1,0,0,0
156.0,30.0,94.0,2,5.0,630.0,0,1,0,0,0
196.0,30.0,54.0,2,4.0,179.0,1,1,0,0,0
660.0,50.0,-184.0,3,3.0,107.0,0,1,0,0,0
56.0,30.0,-47.0,2,4.0,616.0,0,1,0,0,0
4.0,17.0,-4.0,1,1.0,1661.0,0,0,0,0,0
684.0,55.0,-2.0,2,2.0,864.0,0,1,0,0,2
852.0,85.0,-206.0,5,8.0,151.0,1,1,0,0,0
